housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date
mieszkanie,890000,81.0,10987.65,3,Adama,Domiporta,3/11/2023
mieszkanie,685000,59.7,11474.04,3,Bemowo,Domiporta,3/11/2023
mieszkanie,655000,59.76,10960.51,3,Bemowo,Domiporta,3/11/2023
mieszkanie,1990000,154.0,12922.08,4,Wilanów,Domiporta,3/11/2023
mieszkanie,790000,63.2,12500.0,3,Ursynów,Domiporta,3/11/2023
mieszkanie,935000,53.5,17476.64,3,Śródmieście,Domiporta,3/11/2023
mieszkanie,1520000,75.85,20039.55,3,Żoliborz,Domiporta,3/11/2023
mieszkanie,840000,47.11,17830.61,2,Bemowo,Domiporta,3/11/2023
mieszkanie,1390000,59.0,23559.32,3,Śródmieście,Domiporta,3/11/2023
mieszkanie,975000,59.5,16386.55,2,Ursynów,Domiporta,3/11/2023
mieszkanie,499000,24.0,20791.67,1,Śródmieście,Domiporta,3/11/2023
mieszkanie,1020000,53.0,19065.0,3,Służewiec,Morizon,3/11/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,3/11/2023
mieszkanie,799000,64.0,12311.0,3,Ursynów,Morizon,3/11/2023
mieszkanie,680000,62.0,10932.0,4,Niedźwiadek,Morizon,3/11/2023
mieszkanie,1100000,77.0,14286.0,3,Targówek,Morizon,3/11/2023
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,3/11/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,3/11/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,3/11/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,3/11/2023
mieszkanie,650000,34.0,19118.0,2,Ursynów,Morizon,3/11/2023
mieszkanie,1250000,47.0,26596.0,2,Śródmieście,Morizon,3/11/2023
mieszkanie,720000,48.0,14978.0,3,Śródmieście,Morizon,3/11/2023
mieszkanie,675000,40.0,16646.0,2,Wola,Morizon,3/11/2023
mieszkanie,1971156,106.0,18575.0,5,Ochota,Morizon,3/11/2023
mieszkanie,1150000,85.0,13529.0,3,Ursynów,Morizon,3/11/2023
mieszkanie,468000,32.0,14625.0,2,Nowodwory,Morizon,3/11/2023
mieszkanie,911500,105.0,8644.0,4,Wawer,Morizon,3/11/2023
kawalerka,661000,26.0,24664.0,1,Wola,Morizon,3/11/2023
mieszkanie,1680000,85.0,19569.0,2,Mokotów,Morizon,3/11/2023
mieszkanie,865000,56.0,15446.0,4,Ksawerów,Morizon,3/11/2023
mieszkanie,755000,42.0,17976.0,2,Błonia Wilanowskie,Morizon,3/11/2023
kawalerka,745000,34.0,21816.0,1,Stary Żoliborz,Morizon,3/11/2023
mieszkanie,1399878,56.0,24900.0,2,Ochota,Morizon,3/11/2023
